,Well,Ca,Mg,Na,K,Si,F,Cl,HCO3,SO4,NO3,pH,Temp (°C),Label,Color,Marker,CO3,Size,Alpha,Sample
0,F-008A,36.7,4.25,14.7,1.22,12.2,0.16,4.8,134,12.3,13.1,7.71,22.3,F-008A,red,o,0.0,30,0.8,1
1,Martin,30.4,0.83,52.8,1.88,14.6,0.21,8.29,131,55.2,4.18,7.77,30.0,Martin,blue,s,0.0,30,0.8,2
